incident_id,village_id,event_date,hazard_type,fatalities,houses_destroyed,economic_loss_inr_lakhs
INC-2025-101,VIL-001,2025-07-14,Landslide,0,3,126.4
INC-2025-102,VIL-002,2025-07-14,Flash Flood,0,18,44.04
INC-2025-103,VIL-003,2025-07-14,Landslide,3,8,83.95
INC-2025-104,VIL-004,2025-07-14,Flash Flood,4,20,75.13
INC-2025-105,VIL-005,2025-07-14,Landslide,3,27,66.44
INC-2025-106,VIL-006,2025-07-14,Flash Flood,0,5,99.82
INC-2025-107,VIL-007,2025-07-14,Landslide,2,15,66.97
INC-2025-108,VIL-008,2025-07-14,Flash Flood,0,23,99.08
INC-2025-109,VIL-009,2025-07-14,Landslide,0,3,65.85
INC-2025-110,VIL-010,2025-07-14,Flash Flood,2,27,126.67
INC-2025-111,VIL-011,2025-07-14,Landslide,1,8,37.7
INC-2025-112,VIL-012,2025-07-14,Flash Flood,3,6,68.4
INC-2025-113,VIL-013,2025-07-14,Landslide,2,16,45.6
INC-2025-114,VIL-014,2025-07-14,Flash Flood,0,16,119.56
INC-2025-115,VIL-015,2025-07-14,Landslide,4,5,19.2
INC-2025-116,VIL-016,2025-07-14,Flash Flood,4,28,14.46
INC-2025-117,VIL-017,2025-07-14,Landslide,0,26,124.95
INC-2025-118,VIL-018,2025-07-14,Flash Flood,1,15,76.85
INC-2025-119,VIL-019,2025-07-14,Landslide,1,14,132.07
INC-2025-120,VIL-020,2025-07-14,Flash Flood,1,14,12.79
INC-2025-121,VIL-021,2025-07-14,Landslide,3,10,135.26
INC-2025-122,VIL-022,2025-07-14,Flash Flood,3,11,68.55
INC-2025-123,VIL-023,2025-07-14,Landslide,4,23,107.69
INC-2025-124,VIL-024,2025-07-14,Flash Flood,1,8,51.81
INC-2025-125,VIL-025,2025-07-14,Landslide,0,20,109.99
INC-2025-126,VIL-026,2025-07-14,Flash Flood,0,25,54.05
INC-2025-127,VIL-027,2025-07-14,Landslide,0,20,75.67
INC-2025-128,VIL-028,2025-07-14,Flash Flood,4,7,20.04
INC-2025-129,VIL-029,2025-07-14,Landslide,4,4,125.3
INC-2025-130,VIL-030,2025-07-14,Flash Flood,0,21,21.5
