flood_event_id,village_id,year,peak_inundation_depth_m,flood_duration_days,affected_population
FLD-HIST-1,VIL-001,2023,2.25,5,2771
FLD-HIST-2,VIL-002,2025,1.3,3,2117
FLD-HIST-3,VIL-003,2025,2.72,7,1468
FLD-HIST-4,VIL-004,2023,2.94,7,1377
FLD-HIST-5,VIL-005,2024,2.23,6,2272
FLD-HIST-6,VIL-006,2024,3.62,3,438
FLD-HIST-7,VIL-007,2024,2.82,3,700
FLD-HIST-8,VIL-008,2025,1.75,6,942
FLD-HIST-9,VIL-009,2024,3.49,5,1913
FLD-HIST-10,VIL-010,2024,1.61,6,2566
FLD-HIST-11,VIL-011,2023,2.94,6,824
FLD-HIST-12,VIL-012,2023,1.89,3,2666
FLD-HIST-13,VIL-013,2023,1.91,5,1804
FLD-HIST-14,VIL-014,2023,2.99,6,2470
FLD-HIST-15,VIL-015,2024,1.85,2,778
