village_id,household_count,literacy_rate_pct,poverty_ratio_pct,kutcha_houses_pct
VIL-001,475,79.0,22.7,42.1
VIL-002,576,88.0,29.8,45.6
VIL-003,1001,74.9,32.2,27.1
VIL-004,1141,69.1,23.9,34.9
VIL-005,516,86.5,28.5,51.6
VIL-006,517,81.4,25.4,58.8
VIL-007,769,71.3,20.7,52.6
VIL-008,851,73.7,28.8,58.2
VIL-009,708,75.6,36.4,30.1
VIL-010,805,70.3,19.1,29.1
VIL-011,942,71.7,30.6,47.1
VIL-012,694,76.0,36.3,44.6
VIL-013,866,85.5,18.4,51.7
VIL-014,998,85.9,31.9,53.4
VIL-015,648,70.7,26.1,41.8
VIL-016,1039,85.8,23.0,43.5
VIL-017,482,78.5,20.1,48.1
VIL-018,1161,81.1,29.3,30.7
VIL-019,1080,71.7,35.6,59.1
VIL-020,300,80.3,27.1,29.1
VIL-021,671,85.8,33.3,36.4
VIL-022,359,73.2,28.5,27.9
VIL-023,1049,78.1,19.5,53.1
VIL-024,1084,71.0,30.2,60.0
VIL-025,469,73.7,34.1,40.7
VIL-026,516,86.8,31.9,50.5
VIL-027,1030,74.6,36.3,49.0
VIL-028,748,86.2,26.4,34.2
VIL-029,365,75.2,28.9,33.5
VIL-030,525,68.6,31.1,27.2
