village_id,census_code_2011,lgd_code,district_code,state_code
VIL-001,301001,100234,301,19
VIL-002,301002,100235,301,19
VIL-003,301003,100236,302,19
VIL-004,301004,100237,301,19
VIL-005,301005,100238,301,19
VIL-006,301006,100239,301,19
VIL-007,301007,100240,302,19
VIL-008,301008,100241,301,19
VIL-009,301009,100242,302,19
VIL-010,301010,100243,302,19
VIL-011,301011,100245,301,19
VIL-012,301012,100246,302,19
VIL-013,301013,100247,301,19
VIL-014,301014,100248,302,19
VIL-015,301015,100249,301,19
VIL-016,301016,100250,302,19
VIL-017,301017,100251,301,19
VIL-018,301018,100252,302,19
VIL-019,301019,100253,301,19
VIL-020,301020,100254,302,19
VIL-021,301021,100255,301,19
VIL-022,301022,100256,302,19
VIL-023,301023,100257,301,19
VIL-024,301024,100258,302,19
VIL-025,301025,100259,301,19
VIL-026,301026,100260,302,19
VIL-027,301027,100261,301,19
VIL-028,301028,100262,302,19
VIL-029,301029,100263,301,19
VIL-030,301030,100264,302,19
