station_id,village_id,date,daily_rainfall_mm,cum_7day_rainfall_mm,heavy_rainfall_alert
STN-DAR-01,VIL-001,2026-08-25,128.1,642.0,CRITICAL
STN-DAR-01,VIL-002,2026-08-25,250.6,1536.0,CRITICAL
STN-DAR-01,VIL-003,2026-08-25,221.1,1326.5,CRITICAL
STN-DAR-01,VIL-004,2026-08-25,100.6,396.2,WARNING
STN-DAR-01,VIL-005,2026-08-25,233.0,926.9,CRITICAL
STN-DAR-01,VIL-006,2026-08-25,141.9,565.4,WARNING
STN-DAR-01,VIL-007,2026-08-25,262.3,1472.1,CRITICAL
STN-DAR-01,VIL-008,2026-08-25,141.8,752.8,CRITICAL
STN-DAR-01,VIL-009,2026-08-25,217.7,907.8,CRITICAL
STN-DAR-01,VIL-010,2026-08-25,82.4,444.4,WARNING
STN-DAR-01,VIL-011,2026-08-25,134.9,486.3,WARNING
STN-DAR-01,VIL-012,2026-08-25,155.6,628.4,CRITICAL
STN-DAR-01,VIL-013,2026-08-25,260.8,1159.0,CRITICAL
STN-DAR-01,VIL-014,2026-08-25,237.8,1391.7,CRITICAL
STN-DAR-01,VIL-015,2026-08-25,97.4,514.5,WARNING
STN-DAR-01,VIL-016,2026-08-25,138.6,589.4,WARNING
STN-DAR-01,VIL-017,2026-08-25,61.3,342.5,WARNING
STN-DAR-01,VIL-018,2026-08-25,127.5,621.6,CRITICAL
STN-DAR-01,VIL-019,2026-08-25,204.7,1182.7,CRITICAL
STN-DAR-01,VIL-020,2026-08-25,122.8,439.0,WARNING
STN-DAR-01,VIL-021,2026-08-25,251.1,1055.9,CRITICAL
STN-DAR-01,VIL-022,2026-08-25,181.4,1116.6,CRITICAL
STN-DAR-01,VIL-023,2026-08-25,54.0,276.0,WARNING
STN-DAR-01,VIL-024,2026-08-25,126.2,709.7,CRITICAL
STN-DAR-01,VIL-025,2026-08-25,147.6,908.8,CRITICAL
STN-DAR-01,VIL-026,2026-08-25,72.2,428.0,WARNING
STN-DAR-01,VIL-027,2026-08-25,89.7,324.7,WARNING
STN-DAR-01,VIL-028,2026-08-25,147.5,723.3,CRITICAL
STN-DAR-01,VIL-029,2026-08-25,234.5,1255.6,CRITICAL
STN-DAR-01,VIL-030,2026-08-25,266.0,1460.3,CRITICAL
